,f1,Threshold,feature
10_f1,0.7869813563244389,10,DFT
20_f1,0.7553896172198966,20,DFT
30_f1,0.4494201759489654,30,DFT
40_f1,0.3839802429280607,40,DFT
50_f1,0.3771913968384556,50,DFT
10_f1,0.666995937591245,10,DRFP
20_f1,0.4690569742189711,20,DRFP
30_f1,0.1360434575106432,30,DRFP
40_f1,0.0,40,DRFP
50_f1,0.0,50,DRFP
10_f1,0.6960247439910923,10,PCA
20_f1,0.583794706070651,20,PCA
30_f1,0.1037059415534845,30,PCA
40_f1,0.0022222222222222,40,PCA
50_f1,0.0,50,PCA
10_f1,0.7539036530066834,10,DFT+DRFP
20_f1,0.745266428906697,20,DFT+DRFP
30_f1,0.4757955733188695,30,DFT+DRFP
40_f1,0.3192928072199594,40,DFT+DRFP
50_f1,0.0426666666666666,50,DFT+DRFP
10_f1,0.7840281120664606,10,DFT+PCA
20_f1,0.7391698574329213,20,DFT+PCA
30_f1,0.5114406267441367,30,DFT+PCA
40_f1,0.3406104707468881,40,DFT+PCA
50_f1,0.0706666666666666,50,DFT+PCA
